,Name,Code,Sector
505,S-Oil우,010955,Energy
506,KPX홀딩스,092230,Industrials
507,서연,007860,Consumer Cyclical
508,디앤디플랫폼리츠,377190,Etc
509,부국증권,001270,Financial Services
510,LS전선아시아,229640,Industrials
511,한독,002390,Healthcare
512,선진,136490,Consumer Defensive
513,삼성전기우,009155,Technology
514,신한서부티엔디리츠,404990,Etc
515,AJ네트웍스,095570,Industrials
516,유니온머티리얼,047400,Industrials
517,대창단조,015230,Consumer Cyclical
518,흥국화재,000540,Financial Services
519,화승인더,006060,Consumer Cyclical
520,경농,002100,Basic Materials
521,금호석유우,011785,Basic Materials
522,JW생명과학,234080,Healthcare
523,태림포장,011280,Consumer Cyclical
524,경인양행,012610,Basic Materials
525,사조산업,007160,Consumer Defensive
526,디아이,003160,Technology
527,태경비케이,014580,Basic Materials
528,CJ제일제당 우,097955,Consumer Defensive
529,LG우,003555,Technology
530,삼영전자,005680,Technology
531,예스코홀딩스,015360,Utilities
532,한세예스24홀딩스,016450,Consumer Cyclical
533,동아지질,028100,Industrials
534,코람코더원리츠,417310,Etc
535,한신기계,011700,Industrials
536,진흥기업,002780,Industrials
537,KSS해운,044450,Industrials
538,NI스틸,008260,Basic Materials
539,우진,105840,Technology
540,광전자,017900,Technology
541,진양홀딩스,100250,Basic Materials
542,백산,035150,Consumer Cyclical
543,이지스밸류리츠,334890,Real Estate
544,대성산업,128820,Energy
545,DB금융투자,016610,Financial Services
546,STX중공업,071970,Industrials
547,경보제약,214390,Healthcare
548,해태제과식품,101530,Consumer Defensive
549,NH투자증권우,005945,Financial Services
550,삼화페인트,000390,Basic Materials
551,유수홀딩스,000700,Industrials
552,한국패러랠,168490,Etc
553,동부건설,005960,Industrials
554,노루페인트,090350,Basic Materials
555,제이에스코퍼레이션,194370,Consumer Cyclical
556,SNT에너지,100840,Industrials
557,한국주철관,000970,Basic Materials
558,삼화전기,009470,Technology
559,신세계푸드,031440,Consumer Defensive
560,아남전자,008700,Technology
561,신라교역,004970,Consumer Defensive
562,현대리바트,079430,Consumer Cyclical
563,동아타이어,282690,Consumer Cyclical
564,삼영,003720,Consumer Cyclical
565,무학,033920,Consumer Defensive
566,인스코비,006490,Communication Services
567,삼성물산우B,02826K,Industrials
568,휴비스,079980,Consumer Cyclical
569,금강공업,014280,Basic Materials
570,사조동아원,008040,Consumer Defensive
571,HDC현대EP,089470,Consumer Cyclical
572,팜스코,036580,Consumer Defensive
573,태영건설,009410,Industrials
574,한국내화,010040,Industrials
575,디와이,013570,Consumer Cyclical
576,동성제약,002210,Healthcare
577,NH올원리츠,400760,Etc
578,SK이노베이션우,096775,Energy
579,디씨엠,024090,Basic Materials
580,강남제비스코,000860,Basic Materials
581,태경케미컬,006890,Utilities
582,이구산업,025820,Industrials
583,KTcs,058850,Industrials
584,현대약품,004310,Healthcare
585,삼양통상,002170,Consumer Cyclical
586,용평리조트,070960,Consumer Cyclical
587,대영포장,014160,Consumer Cyclical
588,컨버즈,109070,Etc
589,금호에이치티,214330,Consumer Cyclical
590,샘표,007540,Consumer Defensive
591,효성ITX,094280,Technology
592,아모레G3우(전환),00279K,Etc
593,신원,009270,Consumer Cyclical
594,벽산,007210,Industrials
595,계룡건설,013580,Industrials
596,종근당바이오,063160,Healthcare
597,수산중공업,017550,Industrials
598,아시아나IDT,267850,Technology
599,인지컨트롤스,023800,Consumer Cyclical
600,두올,016740,Consumer Cyclical
601,한컴라이프케어,372910,Technology
602,디와이파워,210540,Industrials
603,미원화학,134380,Basic Materials
604,신일전자,002700,Consumer Cyclical
605,성창기업지주,000180,Basic Materials
606,성안,011300,Consumer Cyclical
607,세아특수강,019440,Basic Materials
608,대한화섬,003830,Consumer Cyclical
609,황금에스티,032560,Basic Materials
610,대양금속,009190,Basic Materials
611,동남합성,023450,Basic Materials
612,노루홀딩스,000320,Basic Materials
613,유화증권,003460,Financial Services
614,씨티알모빌리티,308170,Consumer Cyclical
615,한국석유,004090,Basic Materials
616,일동홀딩스,000230,Healthcare
617,신흥,004080,Healthcare
618,샘표식품,248170,Consumer Defensive
619,대창,012800,Industrials
620,한솔홀딩스,004150,Basic Materials
621,삼원강재,023000,Basic Materials
622,웰바이오텍,010600,Consumer Cyclical
623,다이나믹디자인,145210,Industrials
624,조선선재,120030,Industrials
625,극동유화,014530,Basic Materials
626,동양철관,008970,Basic Materials
627,대신증권2우B,003547,Financial Services
628,경동도시가스,267290,Utilities
629,KCTC,009070,Industrials
630,한국수출포장,002200,Consumer Cyclical
631,조흥,002600,Consumer Defensive
632,가온전선,000500,Technology
633,일성건설,013360,Industrials
634,CJ씨푸드,011150,Consumer Defensive
635,두산퓨얼셀1우,33626K,Industrials
636,한국특강,007280,Basic Materials
637,미창석유,003650,Energy
638,한국공항,005430,Industrials
639,토니모리,214420,Consumer Defensive
640,대원화성,024890,Basic Materials
641,KTis,058860,Communication Services
642,웅진,016880,Industrials
643,광명전기,017040,Industrials
644,세이브존I&C,067830,Consumer Cyclical
645,삼화전자,011230,Technology
646,한양증권,001750,Financial Services
